행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상
종로구,139606,139606,6007,9781,21571,19312,19264,23870,20697,11480,6634,954,36
중구,121300,121300,5695,6189,17565,20771,16789,19070,18264,10495,5555,881,26
용산구,215397,215397,11296,13785,30560,37728,31667,34598,29618,15722,8955,1411,57
성동구,278035,278035,17117,17968,41315,45592,41134,44355,38693,20293,10289,1235,44
광진구,336294,336294,15442,23971,59249,55004,48412,52935,45593,23427,10842,1378,41
동대문구,341521,341521,18395,22867,57102,49380,48835,52313,48674,28259,13998,1640,58
중랑구,382390,382390,19293,24062,50357,57630,53456,64553,63304,33077,14765,1834,59
성북구,426892,426892,24367,35360,65027,56286,63949,70665,58179,33492,17343,2167,57
강북구,289372,289372,11811,19324,38620,35203,40184,50242,47972,29668,14740,1559,49
도봉구,307470,307470,14401,22547,37643,37765,42797,54038,53033,28821,14472,1890,63
노원구,499553,499553,26723,47639,66699,61079,75947,86245,73214,39481,19599,2844,83
은평구,467124,467124,24571,35652,62094,66318,70649,77465,68783,39692,19639,2202,59
서대문구,306927,306927,17772,22260,48840,44841,44506,48734,41350,23662,13220,1684,58
마포구,363953,363953,20790,26654,59150,63654,57151,55702,42423,23651,12972,1755,51
양천구,437199,437199,25607,47850,52943,53373,72848,74762,62819,32176,12826,1929,66
강서구,563663,563663,31405,41995,79808,96738,86656,82795,80554,43240,17702,2689,81
구로구,393459,393459,22738,28356,51238,61375,58721,61709,58835,34301,14431,1707,48
금천구,228274,228274,10082,13001,35438,37890,29871,37466,36381,18943,8220,950,32
영등포구,375276,375276,22437,23129,57275,70681,54240,55161,49233,27822,13508,1732,58
동작구,379640,379640,20338,26242,64038,59928,54955,57056,50680,30318,14167,1857,61
관악구,483959,483959,16733,25432,108539,88569,62144,65644,60560,37655,16836,1792,55
서초구,407788,407788,27923,44837,50000,57080,72440,64787,48230,28884,11781,1761,65
강남구,541565,541565,32861,61557,67784,78308,98457,84747,62485,38256,14712,2306,92
송파구,655300,655300,43689,57592,85086,105116,106791,100756,89991,46335,17139,2712,93
강동구,458292,458292,31017,38796,56391,68591,74381,70299,68484,35308,13046,1900,79
